,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-04-02 16:49:00,223.51,223.55,223.38,223.45,37000.0,223.517,223.383,223.51,223.55,223.38,223.45,37000,223.517,223.383,0.28265512519252095,0.12299121180024417,0.09565317265398263,0.048066912281482674,0,0,2.926,2.926,Hold,0,2.926,2.097,0.8290000000000002
2025-04-02 16:50:00,223.43,223.545,223.38,223.42,54676.0,223.487,223.353,223.43,223.545,223.38,223.42,54676,223.487,223.353,0.642540418687635,0.2770326864722085,0.21744176605334342,0.10826875875806846,1,1,-220.561,2.792,Buy,1,2.792,2.067,0.7249999999999996
2025-04-02 16:51:00,223.41,223.45,223.1,223.17,55585.0,223.237,223.103,223.41,223.45,223.1,223.17,55585,223.237,223.103,1.6800000000000181,0.6822563875300554,0.5685279187817274,0.26663659502884346,0,1,-220.561,2.542,Hold,0,2.542,1.817,0.7249999999999999
2025-04-02 16:52:00,223.1668,223.385,223.14,223.37,32778.0,223.437,223.303,223.1668,223.385,223.14,223.37,32778,223.437,223.303,1.480000000000001,1.0212988859700438,0.5008460236886596,0.3991397697977687,0,1,-220.561,2.742,Hold,0,2.742,2.017,0.7250000000000001
2025-04-02 16:53:00,223.4,223.41,223.29,223.41,25068.0,223.477,223.343,223.4,223.41,223.29,223.41,25068,223.477,223.343,1.440000000000009,1.3106351046719158,0.48730964467004984,0.5122169436920027,0,1,-220.561,2.782,Hold,0,2.782,2.057,0.7250000000000001
2025-04-02 16:54:00,223.44,223.54,223.34,223.54,24694.0,223.6071,223.4729,223.44,223.54,223.34,223.54,24694,223.6071,223.4729,1.3100000000000136,1.4775000000000102,0.4433164128595611,0.5774303859306325,0,1,-220.561,2.912,Hold,0,2.912,2.187,0.7250000000000001
2025-04-02 16:55:00,223.53,223.7,223.48,223.63,33291.0,223.6971,223.5629,223.53,223.7,223.48,223.63,33291,223.6971,223.5629,1.2200000000000102,1.3625000000000085,0.412859560067682,0.5324865657059128,0,1,-220.561,3.002,Hold,0,3.002,2.277,0.7249999999999996
2025-04-02 16:56:00,223.65,223.72,223.45,223.7047,57350.0,223.7718,223.6376,223.65,223.72,223.45,223.7047,57350,223.7718,223.6376,1.145300000000003,1.278825000000009,0.3875803722504209,0.4997850512945794,0,1,-220.561,3.077,Hold,0,3.077,2.351,0.726
2025-04-02 16:57:00,223.68,223.82,223.6,223.82,25284.0,223.8871,223.7529,223.68,223.82,223.6,223.82,25284,223.8871,223.7529,1.0300000000000125,1.1763250000000098,0.3485617597292738,0.4597264289203737,0,1,-220.561,3.192,Hold,0,3.192,2.467,0.7250000000000001
2025-04-02 16:58:00,223.85,223.89,223.68,223.705,41116.0,223.7721,223.6379,223.85,223.89,223.68,223.705,41116,223.7721,223.6379,1.1449999999999931,1.1350750000000045,0.38747884940777794,0.44360527601367894,0,1,-220.561,3.077,Hold,0,3.077,2.352,0.7250000000000001
2025-04-02 16:59:00,223.72,223.73,223.6,223.685,23593.0,223.7521,223.6179,223.72,223.73,223.6,223.685,23593,223.7521,223.6179,1.1650000000000034,1.121325000000003,0.3942470389170876,0.43823155837811417,0,1,-220.561,3.057,Hold,0,3.057,2.332,0.7250000000000001
2025-04-02 17:00:00,223.69,223.76,223.651,223.72,27145.0,223.7871,223.6529,223.69,223.76,223.651,223.72,27145,223.7871,223.6529,1.1300000000000068,1.1175000000000037,0.3824027072758029,0.43673668783585745,0,1,-220.561,3.092,Hold,0,3.092,2.367,0.7250000000000001
2025-04-02 17:01:00,223.725,223.78,223.65,223.77,31446.0,223.8371,223.7029,223.725,223.78,223.65,223.77,31446,223.8371,223.7029,1.0799999999999954,1.1299999999999997,0.36548223350253356,0.4416218856863688,0,1,-220.561,3.142,Hold,0,3.142,2.417,0.7250000000000001
2025-04-02 17:02:00,223.78,223.86,223.75,223.81,45410.0,223.8771,223.7429,223.78,223.86,223.75,223.81,45410,223.8771,223.7429,1.0400000000000034,1.103750000000002,0.35194585448392385,0.4313629702002926,0,1,-220.561,3.182,Hold,0,3.182,2.457,0.7250000000000001
2025-04-02 17:03:00,223.825,223.84,223.62,223.79,213921.0,223.8571,223.7229,223.825,223.84,223.62,223.79,213921,223.8571,223.7229,1.0600000000000136,1.0775000000000048,0.3587140439932335,0.4211040547142165,0,1,-220.561,3.162,Hold,0,3.162,2.437,0.7250000000000001
2025-04-02 17:04:00,223.81,223.92,223.7,223.71,41913.0,223.7771,223.6429,223.81,223.92,223.7,223.71,41913,223.7771,223.6429,1.1399999999999977,1.0800000000000023,0.3857868020304529,0.4220810942843181,0,1,-220.561,3.082,Hold,0,3.082,2.357,0.7249999999999996
2025-04-02 17:05:00,223.72,223.94,223.69,223.94,29052.0,224.0072,223.8728,223.72,223.94,223.69,223.94,29052,224.0072,223.8728,0.9100000000000079,1.0375000000000056,0.30795262267343504,0.40547142159257543,0,1,-220.561,3.312,Hold,0,3.312,2.586,0.726
2025-04-02 17:06:00,223.93,223.93,223.64,223.663,37723.0,223.7301,223.5959,223.93,223.93,223.64,223.663,37723,223.7301,223.5959,1.1869999999999947,1.0742500000000033,0.4016920473773215,0.41983390327308256,0,1,-220.561,3.035,Hold,0,3.035,2.31,0.7250000000000001
