,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,open,high,low,close,volume,ask,bid,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-03-12 17:12:00,218.019,218.2,217.87,218.18,91143,218.2455,218.1145,218.019,218.2,217.87,218.18,91143.0,218.2455,218.1145,0.13499999999997953,0.3330999999999847,0.039823008849551776,0.12068928035709943,0,1,-212.918,5.196,Hold,0,5.196,-1.797,6.992999999999999
2025-03-12 17:13:00,218.17,218.24,218.07,218.15,107175,218.2154,218.0846,218.17,218.24,218.07,218.15,107175.0,218.2154,218.0846,0.16499999999998066,0.25509999999998173,0.04867256637167607,0.09242820600148687,0,1,-212.918,5.166,Hold,0,5.166,-1.826,6.992000000000001
2025-03-12 17:14:00,218.17,218.3,218.13,218.25,90348,218.3155,218.1845,218.17,218.3,218.13,218.25,90348.0,218.3155,218.1845,0.06499999999998635,0.19311999999998192,0.019174041297931217,0.06997152153275872,0,1,-212.918,5.266,Hold,0,5.266,-1.726,6.992
2025-03-12 17:15:00,218.275,218.275,218.07,218.11,66754,218.1754,218.0446,218.275,218.275,218.07,218.11,66754.0,218.1754,218.0446,0.2049999999999727,0.16699999999997886,0.060471976401172335,0.06050768483828874,0,1,-212.918,5.126,Hold,0,5.126,-1.866,6.992000000000001
2025-03-12 17:16:00,218.05,218.11,217.9461,218.0,83491,218.0654,217.9346,218.05,218.11,217.9461,218.0,83491.0,218.0654,217.9346,0.31499999999998635,0.17699999999998112,0.09292035398229755,0.0641308994992654,-1,0,5.016,5.016,Sell,-1,5.016,-1.976,6.992
2025-03-12 17:17:00,218.0,218.115,217.98,218.05,68783,218.1154,217.9846,218.0,218.115,217.98,218.05,68783.0,218.1154,217.9846,0.264999999999975,0.20299999999998022,0.07817109144542093,0.07355125761780223,1,1,-213.099,4.886,Buy,1,4.886,-1.926,6.812
2025-03-12 17:18:00,218.04,218.13,217.82,218.07,110832,218.1354,218.0046,218.04,218.13,217.82,218.07,110832.0,218.1354,218.0046,0.24499999999999317,0.2189999999999827,0.07227138643067699,0.07934840107536446,0,1,-213.099,4.906,Hold,0,4.906,-1.906,6.811999999999999
2025-03-12 17:19:00,218.04,218.3997,217.88,218.3997,76781,218.4652,218.3342,218.04,218.3997,217.88,218.3997,76781.0,218.4652,218.3342,0.0,0.20599999999998547,0.0,0.07463822201609689,0,1,-213.099,5.235,Hold,0,5.235,-1.577,6.812
2025-03-12 17:20:00,218.39,218.47,218.33,218.33,69181,218.3955,218.2645,218.39,218.47,218.33,218.33,69181.0,218.3955,218.2645,0.0,0.1649999999999909,0.0,0.05978304190609794,0,1,-213.099,5.165,Hold,0,5.165,-1.647,6.812
2025-03-12 17:21:00,218.35,218.42,218.2501,218.2598,68639,218.3253,218.1943,218.35,218.42,218.2501,218.2598,68639.0,218.3253,218.1943,0.05519999999997366,0.11303999999998834,0.016283185840700317,0.04095681852766659,0,1,-213.099,5.095,Hold,0,5.095,-1.717,6.811999999999999
2025-03-12 17:22:00,218.2513,218.49,218.25,218.4701,70091,218.5356,218.4046,218.2513,218.49,218.25,218.4701,70091.0,218.5356,218.4046,0.0,0.06003999999999336,0.0,0.021753780824496496,0,1,-213.099,5.306,Hold,0,5.306,-1.506,6.812
2025-03-12 17:23:00,218.485,218.61,218.375,218.505,102890,218.5706,218.4394,218.485,218.61,218.375,218.505,102890.0,218.5706,218.4394,0.0,0.011039999999994731,0.0,0.00400002898571541,0,1,-213.099,5.34,Hold,0,5.34,-1.472,6.811999999999999
