trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_choice,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
80,0.00169,0.00319,0.02742,5.41813,6.47574,median_nonzero,0,2,83,8.18333,0.09058,-3.55101,0.00601,0.00586,3.87655,1643700747586.1042
24,0.00184,0.00432,0.02709,5.43577,6.33842,median_nonzero,0,3,82,8.19723,0.08118,4.00818,0.00704,0.00593,9.9831,1638731036697.4536
109,0.00141,0.00316,0.02992,5.47467,6.5103,median_nonzero,0,1,83,8.14646,0.08368,-2.99404,0.00624,0.00573,5.89024,1636661313103.4854
2,0.00177,0.00358,0.02613,5.42339,6.3489,median_nonzero,0,3,80,8.09651,0.0917,-1.89351,0.00647,0.00681,2.09676,1630764497288.0693
50,0.00175,0.00388,0.02638,5.48204,6.54199,median_nonzero,0,1,81,8.12521,0.08113,-2.795,0.00634,0.00699,1.61637,1629844967573.0166
120,0.0017,0.00316,0.02819,5.48804,6.50034,median_nonzero,0,1,84,8.18118,0.08001,-4.34499,0.00786,0.00562,4.41829,1628570080716.939
6,0.001,0.0045,0.02934,5.47979,6.54453,median_nonzero,0,1,86,7.834,0.08326,-4.9389,0.0078,0.00526,4.81065,1628056347691.7327
95,0.00154,0.00322,0.02723,5.50554,6.44373,median_nonzero,0,1,84,8.14976,0.08031,-3.30873,0.006,0.00554,5.07406,1617712867135.1287
13,0.0016,0.00408,0.02769,5.44706,6.30627,median_nonzero,0,3,84,8.05183,0.08613,4.73867,0.00685,0.00594,9.64965,1616721432742.8247
26,0.00107,0.00379,0.02874,5.46134,6.30159,median_nonzero,0,3,83,8.14792,0.08213,4.19214,0.0076,0.00656,8.61866,1614067224082.13
35,0.00116,0.00375,0.02797,5.45524,6.34455,median_nonzero,0,3,82,8.14394,0.08346,1.9849,0.0071,0.00545,8.38805,1609214351990.4707
28,0.00176,0.00412,0.0259,5.43127,6.41072,median_nonzero,0,3,84,8.16948,0.09592,-0.56159,0.00689,0.00552,8.03103,1608949129841.0264
