trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
771,0.01186,0.00484,0.04882,9.14982,6.23157,median_nonzero,0,1,76,7.06944,0.20329,-2.26348,0.00162,0.00905,21.44949,140810414411.0897
226,0.01169,0.00313,0.04991,9.07605,6.84558,median_nonzero,0,1,74,7.59452,0.2075,-2.45666,0.00506,0.02209,24.42031,140782819128.95328
984,0.0114,0.0057,0.05159,9.13041,6.30737,median_nonzero,0,2,71,7.19798,0.20013,-1.87507,0.00275,0.01172,18.1202,140778044035.28354
1032,0.01002,0.00506,0.05411,9.15736,6.30838,median_nonzero,0,1,72,7.21968,0.20635,-2.03204,0.00172,0.01068,17.02603,140777921654.33905
1074,0.01081,0.005,0.05232,9.17258,6.30621,median_nonzero,0,1,70,7.22539,0.2001,-1.92119,0.00177,0.01232,17.18691,140759965748.3025
261,0.01211,0.00336,0.04956,9.03955,6.90365,median_nonzero,0,2,71,7.59859,0.20398,-2.47669,0.0053,0.02123,23.49796,140755827604.42374
1097,0.01134,0.0047,0.05448,9.14174,6.42181,median_nonzero,0,1,72,7.18919,0.20391,-1.99287,0.00175,0.00946,20.25694,140744426562.53278
324,0.0127,0.00542,0.05612,9.15141,6.14291,median_nonzero,0,0,70,7.71412,0.20624,-1.51147,0.00432,0.02067,13.88538,140729348575.11066
1051,0.01001,0.00506,0.05182,9.13868,6.32007,median_nonzero,0,1,72,7.17825,0.20956,-2.02206,0.00213,0.01039,16.69241,140713081981.92072
165,0.01233,0.00296,0.06713,9.04665,6.66023,median_nonzero,0,2,64,7.63298,0.2118,-2.46358,0.00317,0.02201,28.12747,140671985381.76007
152,0.01265,0.00383,0.06527,9.09757,6.55465,median_nonzero,0,1,67,7.4146,0.2103,-2.00168,0.00256,0.02468,26.71221,140670747928.98468
203,0.01556,0.00428,0.06752,9.07079,6.64575,median_nonzero,0,1,66,7.57378,0.20001,-1.86197,0.00307,0.02561,25.35072,140619762138.38474
973,0.01199,0.00523,0.05271,9.13354,6.36772,median_nonzero,0,1,71,7.16835,0.20453,-1.97299,0.00249,0.01309,18.88891,140619197424.3589
1240,0.01337,0.00507,0.05355,9.1282,6.3184,median_nonzero,0,0,72,7.21439,0.20383,-1.91776,0.00145,0.01328,18.90878,140611076640.77945
578,0.01089,0.0054,0.05612,9.14479,6.24446,median_nonzero,0,0,74,7.23395,0.20702,-1.83967,0.00557,0.01047,23.35144,140572650935.40616
1212,0.01072,0.00499,0.05396,9.15161,6.35473,median_nonzero,0,1,76,7.22338,0.20657,-2.01135,0.00282,0.00894,14.44904,140563366906.48346
901,0.01224,0.00482,0.04957,9.03632,7.5446,median_nonzero,0,2,73,7.15236,0.20004,-2.1395,0.0012,0.0127,22.11765,140555719470.98447
671,0.01072,0.00533,0.04595,9.16693,6.0737,median_nonzero,0,2,76,7.30665,0.20001,-2.18117,0.00163,0.00771,24.73774,140491863185.82074
1134,0.01203,0.00514,0.05106,9.16785,6.24627,median_nonzero,0,1,73,7.12905,0.20017,-1.99533,0.00197,0.00994,10.29865,140489691568.5377
253,0.01003,0.00378,0.05134,9.08358,6.79047,median_nonzero,0,1,73,7.69074,0.21072,-2.24524,0.00605,0.02501,24.91792,140426837122.864
185,0.0146,0.00381,0.06498,9.04388,6.49675,median_nonzero,0,1,67,7.49635,0.21756,-1.89204,0.00377,0.02998,24.98656,140422907462.87524
399,0.01018,0.00383,0.05719,9.11864,6.29073,median_nonzero,0,0,74,7.93982,0.21762,-1.86603,0.00526,0.0167,23.05291,140408070709.324
1292,0.01135,0.00474,0.05069,9.14808,6.27862,median_nonzero,0,1,75,7.28672,0.20746,-1.97956,0.00135,0.01052,14.14704,140376148654.34177
997,0.01066,0.00548,0.05217,9.1577,6.31383,median_nonzero,0,1,69,7.21442,0.20596,-1.9075,0.0019,0.01295,19.52654,140356028601.0904
495,0.01223,0.0035,0.05685,9.11331,6.42327,median_nonzero,0,0,78,7.902,0.21021,-1.87706,0.00503,0.01796,23.51027,140308670382.07553
1116,0.01389,0.00519,0.05173,9.13865,6.27324,median_nonzero,0,1,71,7.18149,0.20039,-1.84823,0.00252,0.00983,7.27066,140294667675.76804
136,0.01805,0.00376,0.06403,9.00102,6.71233,median_nonzero,0,2,67,7.50599,0.20386,-2.38602,0.00398,0.02624,27.72978,140276171746.49377
1154,0.01173,0.00468,0.05229,9.15557,6.2921,median_nonzero,0,1,71,7.26192,0.20373,-1.95368,0.00217,0.00953,13.07336,140247454879.34924
1303,0.01257,0.00502,0.05064,9.1379,6.36858,median_nonzero,0,1,76,7.18283,0.20695,-2.08753,0.00158,0.00912,18.43088,140176765163.29523
1351,0.01287,0.00463,0.05007,9.1055,6.31384,median_nonzero,0,2,75,7.14891,0.20725,-1.90571,0.00282,0.01045,5.50839,140164584918.9688
817,0.01347,0.00456,0.04866,9.04224,7.25483,median_nonzero,0,1,75,7.07722,0.2072,-2.14886,0.00158,0.0088,21.28248,140140085280.1587
144,0.01552,0.00373,0.06527,9.04436,6.67195,median_nonzero,0,1,68,7.47868,0.2094,-2.25175,0.00314,0.02468,25.82757,140129137604.48956
651,0.01112,0.0056,0.04808,9.16706,6.04534,median_nonzero,0,1,76,7.17743,0.21102,-1.49444,0.00117,0.00968,25.59856,140114815765.02435
332,0.01345,0.00493,0.0571,9.12388,6.22113,median_nonzero,0,0,70,7.75609,0.20362,-1.54583,0.00431,0.02266,25.05665,140029285135.84482
237,0.011,0.00289,0.0475,9.07272,6.78218,median_nonzero,0,1,72,7.63332,0.21933,-2.32168,0.00522,0.02215,24.09013,140012943768.81024
576,0.01013,0.00554,0.05682,9.17519,6.31012,median_nonzero,0,0,78,7.30942,0.20002,-1.96689,0.00159,0.01372,23.35553,139983627246.3938
184,0.01427,0.00404,0.06433,9.11345,6.41054,median_nonzero,0,1,63,7.46949,0.20017,-2.14892,0.00441,0.01858,25.54632,139943708023.3846
291,0.01268,0.00444,0.0533,9.13667,6.39461,median_nonzero,0,0,68,7.71242,0.2034,-1.67901,0.0043,0.02113,25.40172,139940710280.44836
1111,0.01745,0.00533,0.052,9.03399,7.04654,median_nonzero,0,1,71,7.13485,0.20027,-1.93831,0.00227,0.01027,19.41279,139911513696.89545
215,0.01129,0.00364,0.05434,9.10853,6.65249,median_nonzero,0,1,69,7.56274,0.20469,-2.08858,0.00626,0.02136,22.22093,139893274351.72217
172,0.01265,0.00304,0.06646,9.0831,6.82321,median_nonzero,0,1,64,7.66736,0.20865,-2.51757,0.00281,0.02539,27.7798,139874251994.82446
137,0.01588,0.00404,0.06554,9.04645,6.64874,median_nonzero,0,1,65,7.50138,0.20738,-2.25385,0.00295,0.02433,27.65514,139867111621.5429
347,0.01416,0.00587,0.05805,9.12232,6.14505,median_nonzero,0,0,70,7.8087,0.20348,-1.28202,0.00419,0.02123,24.48266,139823299089.1815
868,0.01463,0.00468,0.04993,9.10311,6.14246,median_nonzero,0,1,72,7.06371,0.21563,-2.15698,0.00152,0.01072,20.36008,139800416553.84146
284,0.013,0.00475,0.05216,9.14399,6.38286,median_nonzero,0,0,70,7.74515,0.20025,-1.63823,0.00474,0.01948,25.22853,139797739471.7432
193,0.01622,0.00328,0.05499,9.08477,6.37342,median_nonzero,0,1,71,7.52129,0.20411,-2.12152,0.00399,0.02328,24.31673,139777423306.3731
260,0.01123,0.00303,0.04792,9.09812,6.74802,median_nonzero,0,1,73,7.49955,0.20697,-2.25854,0.0049,0.0232,24.29425,139717229222.33374
1085,0.0107,0.00532,0.05069,9.07231,7.68962,median_nonzero,0,1,71,7.14172,0.20003,-2.01316,0.00178,0.01062,20.65664,139714491852.0799
1126,0.01467,0.00494,0.05229,9.12949,6.23968,median_nonzero,0,1,72,7.13144,0.20368,-1.96384,0.00202,0.00917,8.98363,139674287023.64676
500,0.01,0.00395,0.0497,9.00085,7.32223,median_nonzero,0,0,75,7.43803,0.23716,-1.83518,0.00479,0.01593,23.23041,139662712312.78146
891,0.01553,0.00481,0.04984,9.0948,6.31156,median_nonzero,0,1,75,7.16423,0.20685,-2.28154,0.00183,0.01,22.4072,139597557984.601
357,0.01177,0.00817,0.05365,9.11503,6.20162,median_nonzero,0,0,69,7.77294,0.20918,-1.18834,0.00418,0.02304,25.14221,139552498269.95633
158,0.01622,0.00452,0.06522,9.0444,6.59268,median_nonzero,0,2,66,7.47202,0.20033,-1.93059,0.00254,0.0244,27.38419,139416744783.04395
367,0.01001,0.00414,0.05553,9.0387,6.03196,median_nonzero,0,5,67,7.92542,0.2109,-1.57685,0.00485,0.0189,22.89234,139394998645.9481
905,0.01433,0.00494,0.05161,9.15031,6.24082,median_nonzero,0,1,74,7.11171,0.20005,-2.33657,0.001,0.012,21.72932,139368906955.6338
304,0.01133,0.00528,0.05556,9.15005,6.31216,median_nonzero,0,0,70,7.7329,0.20378,-1.51627,0.00455,0.03955,25.68798,139354493233.30875
297,0.01315,0.00513,0.05467,9.15309,6.22018,median_nonzero,0,0,70,7.70757,0.2005,-1.72031,0.00456,0.02222,25.43141,139302846311.91113
149,0.01504,0.00411,0.0663,9.04734,6.70985,median_nonzero,0,2,63,7.54316,0.20477,-2.50449,0.00378,0.02006,27.37789,139264926882.7233
176,0.01202,0.00292,0.06705,9.11249,6.57415,median_nonzero,0,1,67,7.48174,0.20481,-1.9555,0.0058,0.02412,27.32103,139205652839.63336
437,0.0118,0.00518,0.05881,9.13735,6.36759,median_nonzero,0,0,74,7.42986,0.20839,-1.65342,0.0054,0.01629,24.42592,139193757878.11877
871,0.01153,0.00438,0.05074,9.03275,7.64465,median_nonzero,0,1,74,7.13245,0.22082,-2.16584,0.00142,0.01002,18.4813,139056683536.81155
196,0.01431,0.00373,0.0675,9.08072,6.57771,median_nonzero,0,1,66,7.48731,0.21035,-2.16981,0.00329,0.02609,24.79655,138963618488.7235
239,0.01204,0.00322,0.04658,9.08399,6.7851,median_nonzero,0,1,72,7.61017,0.21456,-2.26306,0.00557,0.02305,24.29333,138915100634.40152
680,0.01151,0.00549,0.04746,9.1778,6.07085,median_nonzero,0,1,77,7.29009,0.21247,-2.06813,0.00173,0.00702,25.57999,138842654544.21826
1099,0.01218,0.0048,0.05313,9.06515,6.33015,median_nonzero,0,5,72,7.19258,0.20002,-2.05423,0.00157,0.01056,20.78403,138799198875.1702
277,0.01071,0.00427,0.05211,9.10419,6.60759,median_nonzero,0,2,71,7.51859,0.20648,-1.73454,0.00441,0.02236,25.15301,138779058749.29956
404,0.01007,0.0092,0.05578,9.11439,6.2906,median_nonzero,0,0,71,7.93374,0.21362,-1.79278,0.00512,0.01966,23.52483,138699969698.67575
911,0.01294,0.00804,0.05034,9.00195,7.73978,median_nonzero,0,1,72,7.03724,0.21841,-2.06612,0.00189,0.01206,21.40675,138592193296.26242
571,0.01063,0.00527,0.05646,9.0012,6.38836,median_nonzero,0,0,76,7.30672,0.26444,-1.94109,0.00152,0.00922,23.02459,138583545571.16306
541,0.0143,0.00514,0.05922,9.13047,6.34151,median_nonzero,0,0,74,7.90435,0.20354,-1.69281,0.00513,0.01449,21.18009,138549945595.30835
933,0.01067,0.00489,0.05166,9.17283,6.34032,median_nonzero,0,1,71,7.1501,0.20307,-2.05314,0.00195,0.01374,21.266,138546526983.17725
620,0.01411,0.00561,0.05041,9.16053,6.205,median_nonzero,0,0,79,7.25268,0.20367,-1.72192,0.00183,0.0118,22.97932,138408646884.55322
168,0.01372,0.00424,0.05696,9.12795,6.69117,median_nonzero,0,1,68,7.5694,0.20013,-1.93672,0.00273,0.02143,28.31631,138353310934.04617
558,0.01065,0.00456,0.05788,9.12705,6.53514,median_nonzero,0,0,83,7.92915,0.21443,-1.80563,0.00519,0.01082,20.88502,138258649282.08655
954,0.0204,0.00537,0.05301,9.1044,6.33464,median_nonzero,0,1,71,7.18537,0.20334,-1.89971,0.00222,0.01285,19.72078,138197299207.3752
336,0.01062,0.0053,0.05291,9.16969,6.28141,median_nonzero,0,0,68,7.6924,0.20952,-1.71937,0.00408,0.02199,25.65407,138173541329.10037
842,0.02336,0.00414,0.05016,9.07029,6.16186,median_nonzero,0,1,76,7.117,0.21934,-2.22315,0.00122,0.011,21.32457,138118517618.66522
457,0.02446,0.00416,0.06132,9.00068,6.52891,median_nonzero,0,0,78,7.46816,0.21171,-1.91312,0.00619,0.03374,23.97403,138108877499.1178
