,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal_raw,signal_norm,signal_scaled,signal_smooth,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2024-12-31 18:57:00,189.72,189.725,189.56,189.61,23581.0,189.6669,189.5531,189.72,189.725,189.56,189.61,23581.0,189.6669,189.5531,0.6337734762370035,0.7194711683994433,0.5171924486194507,0.38307935096616436,0,1,-191.322,-1.768,Hold,0,-1.768,-2.174,0.4059999999999999
2024-12-31 18:58:00,189.615,189.66,189.59,189.6,10974.0,189.6569,189.5431,189.615,189.66,189.59,189.6,10974.0,189.6569,189.5431,0.6461814424706608,0.7335569171698002,0.5273180008544149,0.3699361703078841,0,1,-191.322,-1.778,Hold,0,-1.778,-2.184,0.40600000000000014
2024-12-31 18:59:00,189.61,189.65,189.57,189.58,18273.0,189.6369,189.5231,189.61,189.65,189.57,189.58,18273.0,189.6369,189.5231,0.667975310156557,0.758297711847757,0.5451029417141707,0.3579297356113894,0,1,-191.322,-1.798,Hold,0,-1.798,-2.204,0.40600000000000014
2024-12-31 19:00:00,189.585,189.64,189.52,189.63,14547.0,189.6869,189.5731,189.585,189.64,189.52,189.63,14547.0,189.6869,189.5731,0.6247038593370002,0.7091751744636848,0.5097911648036557,0.34639875381372626,0,1,-191.322,-1.748,Hold,0,-1.748,-2.154,0.4059999999999999
2024-12-31 19:01:00,189.635,189.67,189.6,189.63,13141.0,189.6869,189.5731,189.635,189.67,189.6,189.63,13141.0,189.6869,189.5731,0.6278352004628752,0.7127299298186534,0.5123465036511723,0.33415097215562145,0,1,-191.322,-1.748,Hold,0,-1.748,-2.154,0.4059999999999999
2024-12-31 19:02:00,189.61,189.64,189.58,189.62,19482.0,189.6769,189.5631,189.61,189.64,189.58,189.62,19482.0,189.6769,189.5631,0.6403998828372955,0.7269935856001578,0.5225999444892708,0.3243601988117615,0,1,-191.322,-1.758,Hold,0,-1.758,-2.164,0.40600000000000014
2024-12-31 19:03:00,189.625,189.69,189.49,189.67,23033.0,189.7269,189.6131,189.625,189.69,189.49,189.67,23033.0,189.7269,189.6131,0.5962856432107174,0.6769142990455431,0.4866004076406774,0.315334216234528,0,1,-191.322,-1.708,Hold,0,-1.708,-2.114,0.4059999999999999
2024-12-31 19:04:00,189.675,189.82,189.62,189.78,20024.0,189.8369,189.7231,189.675,189.82,189.62,189.78,20024.0,189.8369,189.7231,0.49463930074038104,0.561523523756432,0.40365165272025944,0.3089249912383722,0,1,-191.322,-1.598,Hold,0,-1.598,-2.004,0.4059999999999999
2024-12-31 19:05:00,189.765,189.96,189.73,189.94,39701.0,189.997,189.883,189.765,189.96,189.73,189.94,39701.0,189.997,189.883,0.344159093459929,0.39069565763006475,0.2808518988803946,0.3024751400580861,0,1,-191.322,-1.438,Hold,0,-1.438,-1.844,0.40600000000000014
2024-12-31 19:06:00,189.93,190.03,189.85,190.015,41510.0,190.072,189.958,189.93,190.03,189.85,190.015,41510.0,190.072,189.958,0.27382499015843614,0.3108511053128757,0.22345557594820964,0.30034489089524,0,1,-191.322,-1.363,Hold,0,-1.363,-1.769,0.4059999999999999
