,open,high,low,close,volume,bid,ask,trade_action,StrategyEarning,EarningDiff,signal_smooth,pred_signal,pred_action,Position,Cash,NetValue,Action,TradedAmount,BuyHoldEarning
2025-06-18 16:44:00,175.205,175.21,175.12,175.16,31945.0,175.1075,175.2125,0,-0.025,1.09,0.6485857343244976,0.23739174,0,1,-175.132,-0.025,Hold,0,-1.115
2025-06-18 16:45:00,175.16,175.32,175.15,175.285,32501.0,175.2324,175.3376,0,0.1,1.09,0.6541395239005691,0.24370629,0,1,-175.132,0.1,Hold,0,-0.99
2025-06-18 16:46:00,175.25,175.28,175.22,175.25,23022.0,175.1974,175.3026,0,0.065,1.091,0.6623344541116283,0.25198781,0,1,-175.132,0.065,Hold,0,-1.026
2025-06-18 16:47:00,175.235,175.26,175.19,175.26,19766.0,175.2074,175.3126,0,0.075,1.091,0.6736485218440259,0.2543953,0,1,-175.132,0.075,Hold,0,-1.016
2025-06-18 16:48:00,175.26,175.275,175.16,175.22,32400.0,175.1674,175.2726,0,0.035,1.091,0.6793431339490511,0.26088977,0,1,-175.132,0.035,Hold,0,-1.056
2025-06-18 16:49:00,175.19,175.26,175.19,175.22,17779.0,175.1674,175.2726,0,0.035,1.091,0.6775400209798993,0.27484053,0,1,-175.132,0.035,Hold,0,-1.056
2025-06-18 16:50:00,175.21,175.31,175.18,175.27,17497.0,175.2174,175.3226,0,0.085,1.091,0.6797696053353625,0.28224325,0,1,-175.132,0.085,Hold,0,-1.006
2025-06-18 16:51:00,175.2799,175.3,175.245,175.27,20534.0,175.2174,175.3226,0,0.085,1.091,0.6839334825789343,0.3037561,0,1,-175.132,0.085,Hold,0,-1.006
2025-06-18 16:52:00,175.285,175.31,175.2728,175.29,18535.0,175.2374,175.3426,0,0.105,1.091,0.6911962946456633,0.3138659,0,1,-175.132,0.105,Hold,0,-0.986
2025-06-18 16:53:00,175.29,175.3364,175.28,175.3104,22797.0,175.2578,175.363,0,0.125,1.0899999999999999,0.6980072723721472,0.31384265,0,1,-175.132,0.125,Hold,0,-0.965
2025-06-18 16:54:00,175.305,175.335,175.26,175.315,15287.0,175.2624,175.3676,0,0.13,1.0899999999999999,0.7009756877361756,0.3085979,0,1,-175.132,0.13,Hold,0,-0.96
2025-06-18 16:55:00,175.31,175.35,175.27,175.295,19713.0,175.2424,175.3476,0,0.11,1.091,0.7070440087668411,0.30385113,0,1,-175.132,0.11,Hold,0,-0.981
2025-06-18 16:56:00,175.29,175.29,175.2,175.2015,15293.0,175.1489,175.2541,0,0.016,1.09,0.7148496797769066,0.29846287,0,1,-175.132,0.016,Hold,0,-1.074
2025-06-18 16:57:00,175.21,175.235,175.13,175.135,33516.0,175.0825,175.1875,0,-0.05,1.0899999999999999,0.7224463155363772,0.29753378,-1,0,-0.05,-0.05,Sell,-1,-1.14
2025-06-18 16:58:00,175.1413,175.15,175.095,175.095,20787.0,175.0425,175.1475,0,-0.155,1.025,0.7245424755065893,0.30640936,1,1,-175.198,-0.155,Buy,1,-1.18
2025-06-18 16:59:00,175.1,175.155,175.0914,175.11,15503.0,175.0575,175.1625,0,-0.14,1.025,0.72288928548398,0.32079434,0,1,-175.198,-0.14,Hold,0,-1.165
2025-06-18 17:00:00,175.1,175.54,174.88,174.9546,350685.0,174.9021,175.0071,0,-0.295,1.026,0.7215700799935013,0.33409205,0,1,-175.198,-0.295,Hold,0,-1.321
2025-06-18 17:01:00,174.98,175.11,174.924,175.085,84947.0,175.0325,175.1375,0,-0.165,1.025,0.7246239891678457,0.32424852,0,1,-175.198,-0.165,Hold,0,-1.19
2025-06-18 17:02:00,175.07,175.3,175.07,175.2801,37176.0,175.2275,175.3327,0,0.03,1.025,0.7309646536845767,0.33142346,0,1,-175.198,0.03,Hold,0,-0.995
2025-06-18 17:03:00,175.29,175.5,175.27,175.48,183458.0,175.4274,175.5326,0,0.23,1.026,0.7364064359884882,0.330659,0,1,-175.198,0.23,Hold,0,-0.796
